Date,Open,High,Low,Close,Adj Close,Volume,Returns
25/08/2009,29.68,29.68,29.68,29.68,25.835812,0,0.574433044
26/08/2009,29.639999,29.639999,29.639999,29.639999,25.800997,0,-0.134845688
27/08/2009,29.709999,29.709999,29.709999,29.709999,25.861921,0,0.23585206
28/08/2009,29.73,29.73,29.73,29.73,25.87933,0,0.067292539
31/08/2009,29.43,29.43,29.43,29.43,25.618191,0,-1.01418955
01/09/2009,28.860001,28.860001,28.860001,28.860001,25.122021,0,-1.955789289
02/09/2009,28.92,28.92,28.92,28.92,25.17425,0,0.207685452
03/09/2009,29.15,29.15,29.15,29.15,25.374458,0,0.792143083
04/09/2009,29.530001,29.530001,29.530001,29.530001,25.705242,0,1.295186245
08/09/2009,29.809999,29.809999,29.809999,29.809999,25.948971,0,0.943701567
09/09/2009,30.129999,30.129999,30.129999,30.129999,26.227526,0,1.06775143
10/09/2009,30.43,30.43,30.43,30.43,26.488668,0,0.990754895
11/09/2009,30.209999,30.209999,30.209999,30.209999,26.403893,0,-0.320555749
14/09/2009,30.299999,30.299999,30.299999,30.299999,26.482555,0,0.297475293
15/09/2009,30.389999,30.389999,30.389999,30.389999,26.561213,0,0.296577942
16/09/2009,30.940001,30.940001,30.940001,30.940001,27.041916,0,1.793611291
17/09/2009,30.83,30.83,30.83,30.83,26.945776,0,-0.356155628
18/09/2009,30.82,30.82,30.82,30.82,26.93704,0,-0.032425922
21/09/2009,30.76,30.76,30.76,30.76,26.884598,0,-0.194873358
22/09/2009,30.92,30.92,30.92,30.92,27.024439,0,0.518804718
23/09/2009,30.559999,30.559999,30.559999,30.559999,26.709797,0,-1.171117781
24/09/2009,30.120001,30.120001,30.120001,30.120001,26.32523,0,-1.450263202
25/09/2009,30,30,30,30,26.22035,0,-0.399196809
28/09/2009,30.49,30.49,30.49,30.49,26.648615,0,1.620135244
29/09/2009,30.49,30.49,30.49,30.49,26.648615,0,0
30/09/2009,30.360001,30.360001,30.360001,30.360001,26.534994,0,-0.427278912
01/10/2009,29.66,29.66,29.66,29.66,25.923185,0,-2.332664814
02/10/2009,29.450001,29.450001,29.450001,29.450001,25.739645,0,-0.710533171
05/10/2009,29.85,29.85,29.85,29.85,26.089251,0,1.349098011
06/10/2009,30.33,30.33,30.33,30.33,26.508776,0,1.595245756
07/10/2009,30.440001,30.440001,30.440001,30.440001,26.604921,0,0.36203507
08/10/2009,30.75,30.75,30.75,30.75,26.875862,0,1.013236167
09/10/2009,30.879999,30.879999,30.879999,30.879999,26.989481,0,0.421863715
12/10/2009,30.99,30.99,30.99,30.99,27.085619,0,0.355572533
13/10/2009,30.860001,30.860001,30.860001,30.860001,26.972002,0,-0.42035578
14/10/2009,31.360001,31.360001,31.360001,31.360001,27.409004,0,1.607220753
15/10/2009,31.41,31.41,31.41,31.41,27.452709,0,0.159327906
16/10/2009,31.209999,31.209999,31.209999,31.209999,27.277906,0,-0.638778111
19/10/2009,31.51,31.51,31.51,31.51,27.540106,0,0.956627174
20/10/2009,31.26,31.26,31.26,31.26,27.321606,0,-0.796552449
21/10/2009,30.98,30.98,30.98,30.98,27.076883,0,-0.899747973
22/10/2009,31.290001,31.290001,31.290001,31.290001,27.347826,0,0.995669957
23/10/2009,30.91,30.91,30.91,30.91,27.015703,0,-1.221874805
26/10/2009,30.559999,30.559999,30.559999,30.559999,26.709797,0,-1.138786259
27/10/2009,30.35,30.35,30.35,30.35,26.526255,0,-0.689542971
28/10/2009,29.459999,29.459999,29.459999,29.459999,25.748381,0,-2.976324589
29/10/2009,30.18,30.18,30.18,30.18,26.37767,0,2.414606755
30/10/2009,29.5,29.5,29.5,29.5,25.783346,0,-2.278903928
02/11/2009,29.610001,29.610001,29.610001,29.610001,25.879486,0,0.372182891
03/11/2009,29.780001,29.780001,29.780001,29.780001,26.028069,0,0.572492408
04/11/2009,29.92,29.92,29.92,29.92,26.150423,0,0.468983367
05/11/2009,30.459999,30.459999,30.459999,30.459999,26.622395,0,1.788741258
06/11/2009,30.52,30.52,30.52,30.52,26.674835,0,0.196783273
09/11/2009,31.129999,31.129999,31.129999,31.129999,27.207983,0,1.978981129
10/11/2009,31.030001,31.030001,31.030001,31.030001,27.120583,0,-0.3217463
11/11/2009,31.190001,31.190001,31.190001,31.190001,27.260426,0,0.514309355
12/11/2009,30.77,30.77,30.77,30.77,26.893341,0,-1.355734394
13/11/2009,31.040001,31.040001,31.040001,31.040001,27.129326,0,0.873657352
16/11/2009,31.540001,31.540001,31.540001,31.540001,27.566332,0,1.597989001
17/11/2009,31.43,31.43,31.43,31.43,27.470192,0,-0.34936835
18/11/2009,31.33,31.33,31.33,31.33,27.382788,0,-0.31868487
19/11/2009,30.84,30.84,30.84,30.84,26.954517,0,-1.576375084
20/11/2009,30.68,30.68,30.68,30.68,26.814678,0,-0.520146583
23/11/2009,31.1,31.1,31.1,31.1,27.181767,0,1.359699349
24/11/2009,31.01,31.01,31.01,31.01,27.103104,0,-0.289815758
25/11/2009,31.200001,31.200001,31.200001,31.200001,27.269165,0,0.610831659
27/11/2009,30.620001,30.620001,30.620001,30.620001,26.762239,0,-1.876467524
30/11/2009,30.639999,30.639999,30.639999,30.639999,26.77972,0,0.065298323
01/12/2009,31.139999,31.139999,31.139999,31.139999,27.216719,0,1.618656894
02/12/2009,31.23,31.23,31.23,31.23,27.295383,0,0.288611342
03/12/2009,30.91,30.91,30.91,30.91,27.015703,0,-1.029927747
